id;content;date;is_acknowledged;time;customer_id;outlet_id;period_id
1;dummy complaint for report;2023-01-20;1;12:00:00;1;2;1
2;dummy complaint for report;2023-01-20;1;12:00:00;1;2;1
3;dummy complaint for report;2023-01-20;1;12:00:00;2;5;1
4;dummy complaint for report;2023-01-20;1;12:00:00;3;8;1
5;dummy complaint for outlet;2023-01-20;1;12:00:00;3;9;1
6;dummy complaint for report;2023-01-20;1;12:00:00;4;11;1
7;dummy complaint for report;2023-01-20;1;12:00:00;4;11;1
8;dummy complaint for report;2023-01-20;1;12:00:00;5;14;1
9;dummy complaint for report;2023-01-20;1;12:00:00;5;14;1
10;dummy complaint for outlet;2023-01-20;1;12:00:00;5;15;1
11;dummy complaint for outlet;2023-01-20;1;12:00:00;6;18;1
12;dummy complaint for report;2023-01-20;1;12:00:00;7;20;1
13;dummy complaint for outlet;2023-01-20;1;12:00:00;7;21;1
14;dummy complaint for report;2023-01-20;1;12:00:00;8;23;1
15;dummy complaint for outlet;2023-01-20;1;12:00:00;9;27;1
16;dummy complaint for report;2023-02-20;1;12:00:00;1;2;2
17;dummy complaint for outlet;2023-02-20;1;12:00:00;1;3;2
18;dummy complaint for outlet;2023-02-20;1;12:00:00;1;3;2
19;dummy complaint for report;2023-02-20;1;12:00:00;2;5;2
20;dummy complaint for outlet;2023-02-20;1;12:00:00;4;12;2
21;dummy complaint for outlet;2023-02-20;1;12:00:00;4;12;2
22;dummy complaint for report;2023-02-20;1;12:00:00;5;14;2
23;dummy complaint for report;2023-02-20;1;12:00:00;6;17;2
24;dummy complaint for outlet;2023-02-20;1;12:00:00;6;18;2
25;dummy complaint for report;2023-02-20;1;12:00:00;7;20;2
26;dummy complaint for report;2023-02-20;1;12:00:00;7;20;2
27;dummy complaint for report;2023-02-20;1;12:00:00;8;23;2
28;dummy complaint for outlet;2023-02-20;1;12:00:00;8;24;2
29;dummy complaint for report;2023-02-20;1;12:00:00;9;26;2
30;dummy complaint for report;2023-03-20;1;12:00:00;2;5;3
31;dummy complaint for report;2023-03-20;1;12:00:00;2;5;3
32;dummy complaint for outlet;2023-03-20;1;12:00:00;3;9;3
33;dummy complaint for report;2023-03-20;1;12:00:00;4;11;3
34;dummy complaint for report;2023-03-20;1;12:00:00;4;11;3
35;dummy complaint for outlet;2023-03-20;1;12:00:00;4;12;3
36;dummy complaint for outlet;2023-03-20;1;12:00:00;5;15;3
37;dummy complaint for report;2023-03-20;1;12:00:00;6;17;3
38;dummy complaint for report;2023-03-20;1;12:00:00;7;20;3
39;dummy complaint for outlet;2023-03-20;1;12:00:00;7;21;3
40;dummy complaint for report;2023-03-20;1;12:00:00;8;23;3
41;dummy complaint for outlet;2023-03-20;1;12:00:00;8;24;3
42;dummy complaint for report;2023-03-20;1;12:00:00;9;26;3
43;dummy complaint for report;2023-03-20;1;12:00:00;9;26;3
44;dummy complaint for report;2023-04-20;1;12:00:00;1;2;4
45;dummy complaint for outlet;2023-04-20;1;12:00:00;1;3;4
46;dummy complaint for outlet;2023-04-20;1;12:00:00;1;3;4
47;dummy complaint for report;2023-04-20;1;12:00:00;2;5;4
48;dummy complaint for report;2023-04-20;1;12:00:00;2;5;4
49;dummy complaint for report;2023-04-20;1;12:00:00;3;8;4
50;dummy complaint for outlet;2023-04-20;1;12:00:00;3;9;4
51;dummy complaint for report;2023-04-20;1;12:00:00;4;11;4
52;dummy complaint for outlet;2023-04-20;1;12:00:00;4;12;4
53;dummy complaint for report;2023-04-20;1;12:00:00;5;14;4
54;dummy complaint for outlet;2023-04-20;1;12:00:00;5;15;4
55;dummy complaint for report;2023-04-20;1;12:00:00;6;17;4
56;dummy complaint for outlet;2023-04-20;1;12:00:00;6;18;4
57;dummy complaint for report;2023-04-20;1;12:00:00;7;20;4
58;dummy complaint for outlet;2023-04-20;1;12:00:00;7;21;4
59;dummy complaint for outlet;2023-04-20;1;12:00:00;7;21;4
60;dummy complaint for report;2023-04-20;1;12:00:00;9;26;4
61;dummy complaint for report;2023-04-20;1;12:00:00;9;26;4
62;dummy complaint for report;2023-05-20;1;12:00:00;1;2;5
63;dummy complaint for report;2023-05-20;1;12:00:00;1;2;5
64;dummy complaint for outlet;2023-05-20;1;12:00:00;1;3;5
65;dummy complaint for report;2023-05-20;1;12:00:00;2;5;5
66;dummy complaint for report;2023-05-20;1;12:00:00;2;5;5
67;dummy complaint for report;2023-05-20;1;12:00:00;3;8;5
68;dummy complaint for outlet;2023-05-20;1;12:00:00;3;9;5
69;dummy complaint for report;2023-05-20;1;12:00:00;4;11;5
70;dummy complaint for report;2023-05-20;1;12:00:00;5;14;5
71;dummy complaint for outlet;2023-05-20;1;12:00:00;5;15;5
72;dummy complaint for report;2023-05-20;1;12:00:00;6;17;5
73;dummy complaint for report;2023-05-20;1;12:00:00;7;20;5
74;dummy complaint for report;2023-05-20;1;12:00:00;8;23;5
75;dummy complaint for outlet;2023-05-20;1;12:00:00;8;24;5
