id;display_number;finding;status;area_id;report_id
1;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;1
2;2;Frekuensi pengangkutan sampah kurang;3;1;1
3;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;1
4;4;Ditemukan potensi akses atau sarang hama;3;1;1
5;5;Ditemukan sampah atau ceceran makanan;3;2;1
6;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;1
7;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;1
8;8;Terdapat sisa makanan di atas meja / lantai;3;3;1
9;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;1
10;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;1
11;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;1
12;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;1
13;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;1
14;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;1
15;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;1
16;16;Terdapat sisa makanan di area bumbu masak;3;5;1
17;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;1
18;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;1
19;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;1
20;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;1
21;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;1
22;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;1
23;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;1
24;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;1
25;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;1
26;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;1
27;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;1
28;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;1
29;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;1
30;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;2
31;2;Frekuensi pengangkutan sampah kurang;3;1;2
32;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;2
33;4;Ditemukan potensi akses atau sarang hama;3;1;2
34;5;Ditemukan sampah atau ceceran makanan;3;2;2
35;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;2
36;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;2
37;8;Terdapat sisa makanan di atas meja / lantai;3;3;2
38;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;2
39;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;2
40;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;2
41;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;2
42;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;2
43;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;2
44;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;2
45;16;Terdapat sisa makanan di area bumbu masak;3;5;2
46;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;2
47;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;2
48;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;2
49;20;Ditemukan aktifitas hama atau potensi sarang hama;3;5;2
50;21;Terdapat akses masuk hama: ceiling,celah pintu, pipa air, dinding, kabel, dll;3;5;2
51;22;Rest Room / Toilet / Hand Wash Area dalam keadaan kotor, drainase pit tidak tertutup;3;6;2
52;23;Terdapat aktifitas hama / potensi sarang / akses hama;3;6;2
53;24;Ditemukan sisa makanan atau makanan yang terbuka di area office/staff room/backroom;3;7;2
54;25;Terdapat aktifitas hama / potensi sarang / akses hama;3;7;2
55;26;Terdapat aktifitas hama / potensi sarang / akses hama;3;8;2
56;27;Terdapat produk yang terbuka dan dapat mengundang hama;3;8;2
57;28;Ditemukan makanan / produk yang terbuka dan beresiko terkena cemaran chemical treatment;3;9;2
58;29;Terdapat lemari/kabinet dalam keadaan terkunci sehingga tidak bisa diinspeksi dan ditreatment;3;9;2
59;1;Tempat sampah luar dalam keadaan kotor, diletakkan dekat pintu/bangunan;3;1;3
60;2;Frekuensi pengangkutan sampah kurang;3;1;3
61;3;Lingkungan sekitar terdapat sampah dan genangan air;3;1;3
62;4;Ditemukan potensi akses atau sarang hama;3;1;3
63;5;Ditemukan sampah atau ceceran makanan;3;2;3
64;6;Ditemukan aktifitas hama atau potensi sarang hama;3;2;3
65;7;Terdapat celah di bawah atau samping pintu atau pintu / jendela tidak ditutup sempurna;3;3;3
66;8;Terdapat sisa makanan di atas meja / lantai;3;3;3
67;9;Terdapat ceceran makanan di area bumbu tambahan;3;3;3
68;10;Tempat sampah indoor tidak tertutup rapat / kondisinya kotor;3;3;3
69;11;Terdapat aktifitas hama / potensi sarang / akses hama;3;3;3
70;12;Terdapat sisa makanan di atas meja serving counter / meja bar / lantai area serving counter;3;4;3
71;13;Terdapat ceceran makanan (sampah), ceceran kotoran lemak dan bau yang mengundang serangga di grease trap;3;4;3
72;14;Terdapat aktifitas hama / potensi sarang / akses hama;3;4;3
73;15;Terdapat sisa makanan di atas meja masak / dan di lantai bawahnya;3;5;3
74;16;Terdapat sisa makanan di area bumbu masak;3;5;3
75;17;Peralatan masak dan dispenser dalam keadaan kotor / belum dibersihkan;3;5;3
76;18;Penyimpanan barang/karton diletakkan langsung di atas lantai (tidak ada jarak yang cukup dengan lantai);3;5;3
77;19;Ditemukan makanan yang terbuka setelah jam operasional (after closing);3;5;3
