id,pest,status,report_id
1,tikus,2,1
2,kecoa,2,1
3,lalat,2,2
4,lalat,2,2
5,tikus,2,3
6,kecoa,2,3
7,tikus,2,4
8,lalat,2,4
9,lainnya,2,5
10,kecoa,2,5
11,tikus,2,6
12,tikus,2,6
13,tikus,2,7
14,lalat,2,7
15,lalat,2,8
16,tikus,2,8
17,kecoa,2,9
18,kecoa,2,9
19,tikus,2,10
20,lalat,2,10
21,tikus,2,11
22,lainnya,2,11
23,kecoa,2,12
24,lalat,2,12
25,tikus,2,13
26,tikus,2,13
27,tikus,2,14
28,kecoa,2,14
29,tikus,2,15
30,tikus,2,15
31,lalat,2,16
32,lainnya,2,16
33,lainnya,2,17
34,lainnya,2,17
35,kecoa,2,18
36,kecoa,2,18
37,lalat,2,19
38,lalat,2,19
39,tikus,2,20
40,lalat,2,20
41,lainnya,2,21
42,kecoa,2,21
43,kecoa,2,22
44,lalat,2,22
45,lainnya,2,23
46,kecoa,2,23
47,lalat,2,24
48,lalat,2,24
49,tikus,2,25
50,tikus,2,25
51,kecoa,2,26
52,tikus,2,26
53,lalat,2,27
54,lalat,2,27
55,lalat,2,28
56,lalat,2,28
57,tikus,2,29
58,kecoa,2,29
59,tikus,2,30
60,lalat,2,30
61,lainnya,2,31
62,lainnya,2,31
63,lalat,2,32
64,lainnya,2,32
65,lalat,2,33
66,lainnya,2,33
67,lalat,2,34
68,kecoa,2,34
69,lainnya,2,35
70,kecoa,2,35
71,lainnya,2,36
72,kecoa,2,36
73,kecoa,2,37
74,kecoa,2,37
75,kecoa,2,38
76,lalat,2,38
77,lalat,2,39
78,tikus,2,39
79,lainnya,2,40
80,lainnya,2,40
81,lainnya,2,41
82,lalat,2,41
83,kecoa,2,42
84,lainnya,2,42
85,kecoa,2,43
86,kecoa,2,43
87,lalat,2,44
88,tikus,2,44
89,kecoa,2,45
90,lalat,2,45
91,lainnya,2,46
92,kecoa,2,46
93,lalat,2,47
94,lainnya,2,47
95,lalat,2,48
96,kecoa,2,48
97,lalat,2,49
98,lainnya,2,49
99,lainnya,2,50
100,kecoa,2,50
101,kecoa,2,51
102,tikus,2,51
103,tikus,2,52
104,lainnya,2,52
105,kecoa,2,53
106,lalat,2,53
107,tikus,2,54
108,lainnya,2,54
109,lalat,2,55
110,kecoa,2,55
111,tikus,2,56
112,kecoa,2,56
113,tikus,2,57
114,kecoa,2,57
115,lalat,2,58
116,lainnya,2,58
117,kecoa,2,59
118,kecoa,2,59
119,tikus,2,60
120,lalat,2,60
121,lainnya,2,61
122,lainnya,2,61
123,lalat,2,62
124,lalat,2,62
125,lalat,2,63
126,lalat,2,63
127,tikus,2,64
128,lainnya,2,64
129,lainnya,2,65
130,lainnya,2,65
131,tikus,2,66
132,tikus,2,66
133,kecoa,2,67
134,lainnya,2,67
135,lainnya,2,68
136,tikus,2,68
137,kecoa,2,69
138,kecoa,2,69
139,tikus,2,70
140,lainnya,2,70
141,lalat,2,71
142,tikus,2,71
143,lainnya,2,72
144,kecoa,2,72
145,lainnya,2,73
146,lainnya,2,73
147,lalat,2,74
148,lainnya,2,74
149,lainnya,2,75
150,lalat,2,75
151,lalat,2,76
152,lalat,2,76
153,lainnya,2,77
154,lainnya,2,77
155,kecoa,2,78
156,tikus,2,78
157,kecoa,2,79
158,lalat,2,79
159,lalat,2,80
160,tikus,2,80
161,tikus,2,81
162,lainnya,2,81
163,lainnya,2,82
164,tikus,2,82
165,lainnya,2,83
166,kecoa,2,83
167,tikus,2,84
168,lainnya,2,84
169,lalat,2,85
170,lalat,2,85
171,tikus,2,86
172,lainnya,2,86
173,lainnya,2,87
174,lalat,2,87
175,lainnya,2,88
176,kecoa,2,88
177,kecoa,2,89
178,lainnya,2,89
179,lainnya,2,90
180,kecoa,2,90
181,tikus,2,91
182,lalat,2,91
183,tikus,2,92
184,lainnya,2,92
185,lalat,2,93
186,lalat,2,93
187,lainnya,2,94
188,lalat,2,94
189,lalat,2,95
190,lainnya,2,95
191,tikus,2,96
192,kecoa,2,96
193,lalat,2,97
194,tikus,2,97
195,lainnya,2,98
196,lalat,2,98
197,lalat,2,99
198,lalat,2,99
199,lalat,2,100
200,lalat,2,100
201,lainnya,2,101
202,lalat,2,101
203,tikus,2,102
204,lalat,2,102
205,tikus,2,103
206,lainnya,2,103
207,lainnya,2,104
208,lalat,2,104
209,tikus,2,105
210,tikus,2,105
211,lalat,2,106
212,lainnya,2,106
213,lalat,2,107
214,lalat,2,107
215,lalat,2,108
216,lainnya,2,108
217,lainnya,2,109
218,tikus,2,109
219,kecoa,2,110
220,tikus,2,110
221,kecoa,2,111
222,tikus,2,111
223,kecoa,2,112
224,kecoa,2,112
225,tikus,2,113
226,lalat,2,113
227,lainnya,2,114
228,lainnya,2,114
229,lainnya,2,115
230,kecoa,2,115
231,tikus,2,116
232,lalat,2,116
233,kecoa,2,117
234,kecoa,2,117
235,lainnya,2,118
236,tikus,2,118
237,lalat,2,119
238,kecoa,2,119
239,lainnya,2,120
240,kecoa,2,120
241,tikus,2,121
242,tikus,2,121
243,kecoa,2,122
244,tikus,2,122
245,lalat,2,123
246,tikus,2,123
247,tikus,2,124
248,tikus,2,124
249,kecoa,2,125
250,lainnya,2,125
251,kecoa,2,126
252,lainnya,2,126
253,tikus,2,127
254,tikus,2,127
255,lainnya,2,128
256,lainnya,2,128
257,tikus,2,129
258,lalat,2,129
259,lalat,2,130
260,lalat,2,130
261,lalat,2,131
262,lainnya,2,131
263,lalat,2,132
264,lalat,2,132
265,tikus,2,133
266,kecoa,2,133
267,lainnya,2,134
268,kecoa,2,134
269,tikus,2,135
270,lalat,2,135
271,lalat,2,136
272,kecoa,2,136
273,lalat,2,137
274,tikus,2,137
275,tikus,2,138
276,lainnya,2,138
277,lainnya,2,139
278,lainnya,2,139
279,tikus,2,140
280,lalat,2,140
281,tikus,2,141
282,lainnya,2,141
283,lainnya,2,142
284,kecoa,2,142
285,kecoa,2,143
286,lalat,2,143
287,lainnya,2,144
288,tikus,2,144
289,lainnya,2,145
290,lainnya,2,145
291,lalat,2,146
292,kecoa,2,146
293,lalat,2,147
294,lainnya,2,147
295,tikus,2,148
296,lainnya,2,148
297,lalat,2,149
298,kecoa,2,149
299,lainnya,2,150
300,lalat,2,150
301,tikus,2,151
302,lainnya,2,151
303,lainnya,2,152
304,lalat,2,152
305,tikus,2,153
306,lalat,2,153
307,lainnya,2,154
308,kecoa,2,154
309,tikus,2,155
310,tikus,2,155
311,kecoa,2,156
312,kecoa,2,156
313,tikus,2,157
314,lainnya,2,157
315,kecoa,2,158
316,kecoa,2,158
317,kecoa,2,159
318,tikus,2,159
319,tikus,2,160
320,lainnya,2,160
321,lalat,2,161
322,tikus,2,161
323,tikus,2,162
324,lalat,2,162
325,kecoa,2,163
326,tikus,2,163
327,kecoa,2,164
328,tikus,2,164
329,kecoa,2,165
330,lainnya,2,165
331,kecoa,2,166
332,kecoa,2,166
333,lainnya,2,167
334,lalat,2,167
335,lalat,2,168
336,lainnya,2,168
337,kecoa,2,169
338,lainnya,2,169
339,tikus,2,170
340,lalat,2,170
341,tikus,2,171
342,lalat,2,171
343,lainnya,2,172
344,kecoa,2,172
345,lalat,2,173
346,tikus,2,173
347,kecoa,2,174
348,lainnya,2,174
349,lainnya,2,175
350,lalat,2,175
351,tikus,2,176
352,lainnya,2,176
353,kecoa,2,177
354,tikus,2,177
355,tikus,2,178
356,lalat,2,178
357,lalat,2,179
358,lainnya,2,179
359,kecoa,2,180
360,lainnya,2,180
361,tikus,2,181
362,tikus,2,181
363,lalat,2,182
364,tikus,2,182
365,lalat,2,183
366,tikus,2,183
367,tikus,2,184
368,lainnya,2,184
369,kecoa,2,185
370,lainnya,2,185
371,tikus,2,186
372,lainnya,2,186
373,lainnya,2,187
374,lainnya,2,187
375,tikus,2,188
376,lalat,2,188
377,tikus,2,189
378,tikus,2,189
379,tikus,2,190
380,tikus,2,190
381,kecoa,2,191
382,tikus,2,191
383,kecoa,2,192
384,tikus,2,192
385,lalat,2,193
386,tikus,2,193
387,kecoa,2,194
388,lalat,2,194
389,lalat,2,195
390,lainnya,2,195
391,lainnya,2,196
392,lainnya,2,196
393,kecoa,2,197
394,kecoa,2,197
395,lainnya,2,198
396,kecoa,2,198
397,lalat,2,199
398,lalat,2,199
399,kecoa,2,200
400,lainnya,2,200
401,lainnya,2,201
402,lalat,2,201
403,kecoa,2,202
