id,date,outlet_id,period_id,technician_id,pic_name,pic_signature,technician_signature,report_type,time,visitation_photo,visitation_type
1,2023-01-01,1,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
2,2023-01-02,2,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
3,2023-01-03,3,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
4,2023-01-04,4,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
5,2023-01-05,5,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
6,2023-01-06,6,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
7,2023-01-07,7,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
8,2023-01-08,8,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
9,2023-01-09,9,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
10,2023-01-10,1,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
11,2023-01-11,2,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
12,2023-01-12,3,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
13,2023-01-13,4,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
14,2023-01-14,5,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
15,2023-01-15,6,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
16,2023-01-16,7,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
17,2023-01-17,8,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
18,2023-01-18,9,1,1,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
19,2023-01-01,10,1,2,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
20,2023-01-02,11,1,2,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
21,2023-01-03,12,1,2,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
22,2023-01-04,13,1,2,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
23,2023-01-05,14,1,2,dummy pic,12/2/1684735630533-87879fe6-df94-46d0-8ed5-2d7acdcca0c5.jpeg,12/2/1684735629885-b6807f65-5f4b-4b97-a490-9bb4cd2e0a6b.jpeg,1,13:07:00,12/2/1684735631047-c936fbb9-bb44-4591-97e2-a81d4fccf24a.jpg,1
